Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasTermsAndConditions,Object Property,,,UsageGuideline,TermsAndConditions,,Establishes a relation to outline the legal and contractual obligations associated with the data,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Terms and Conditions
hasQualityControlPass,Object Property,,,Dataset,QualityControl,,A relation between a dataset and its quality check or control pass,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Quality Control Pass
hasUsageGuideline,Object Property,,,Dataset,UsageGuideline,,"Establishes a relation between a dataset and its usage guidelines, providing recommendations and best practices for utilizing the data",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Usage Guideline
http://www.w3.org/ns/prov#wasGeneratedBy,Object Property,,,Dataset,http://www.w3.org/ns/prov#Activity,,,http://www.w3.org/ns/prov,was Generated By
http://www.w3.org/ns/prov#wasAssociatedWith,Object Property,,,http://www.w3.org/ns/prov#Activity,http://xmlns.com/foaf/spec/Agent,,,http://www.w3.org/ns/prov,was Associated With
http://purl.org/ontology/bibo/doi,Data Property,,,Publication,string,,A relation that specifies Digital Object Identifier (DOI) of a published entity to make it publicly available,,has DOI
http://purl.org/dc/terms/bibliographicCitation,Data Property,,,UsageGuideline,string,,,http://purl.org/dc/terms,has Bibliographic Citation
hasContact,Data Property,,,UsageGuideline,string,,specifies the contact information of an authority to discuss about the dataset as a usage guideline,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Contact
http://purl.org/dc/terms/dateCopyrighted,Data Property,,,UsageGuideline,string,,Specifies the date of copyright information at which the dataset to indicate ownership and intellectual property rights,http://purl.org/dc/terms,has Copyright
https://schema.org/name,Data Property,,,DataContent,string,,"Specifies the name assigned to a data content for reference and identification. For example, daily rainfall (a variable in the dataset).",https://schema.org,has Name
hasIllustration,Data Property,,,DataContent,any uri,,"Associates the data content with a diagram, figure or visual representation",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Illustration
providedBy,Data Property,,,Dataset,string,,Specifies a person or organisation that provides the dataset,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,provided By
http://purl.org/dc/terms/title,Data Property,,,Dataset,string,,"A name given to the dataset. For example, Majorca region flood risk dataset.",http://purl.org/dc/terms,has Title
hasObjective,Data Property,,,Dataset,string,,"Indicates the intended outcomes associated with the dataset. For example, a dataset aimed at improving flood prediction accuracy.",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Objective
http://purl.org/dc/terms/description,Data Property,,,Dataset,string,,"Provides a description of the dataset, summarising its content and context",http://purl.org/dc/terms,has Description
hasPurpose,Data Property,,,Dataset,string,,"Specifies the intended use of the dataset. For example, a dataset developed or collected for flood risk assessment.",https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Purpose
https://schema.org/dateCreated,Data Property,,,Dataset,date time,,Specifies the date when the dataset was created,https://schema.org,has Date Created
https://schema.org/dateModified,Data Property,,,Dataset,date time,,,https://schema.org,has Date Modified
https://schema.org/contentSize,Data Property,,,QualityControl,float,,Specifies the size of the dataset,https://schema.org,has Content Size
hasMaximumValue,Data Property,,,DataRange,float,,Specifies the maximum value,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Maximum Value
hasMinimumValue,Data Property,,,DataRange,float,,Specifies the minimum value,https://raw.githubusercontent.com/TheWorldAvatar/ontodatadoc/refs/heads/main/OntDataDoc.owl,has Minimum Value
https://schema.org/url,Data Property,,,UsageGuideline,any uri,,Specifies how the dataset should be cited,https://schema.org,has URL
http://www.w3.org/ns/dcat#keyword,Data Property,,,Dataset,string,,Specifies the contact details for individuals or entities responsible for inquiries or further information related to the dataset usage,https://www.w3.org/TR/vocab-dcat-3,has Keyword
http://purl.org/dc/terms/identifier,Data Property,,,Dataset,string,,,http://purl.org/dc/terms,has Identifier
http://www.w3.org/ns/prov#startedAtTime,Data Property,,,http://www.w3.org/ns/prov#Activity,date time,,,http://www.w3.org/ns/prov,started At Time
http://www.w3.org/ns/prov#endedAtTime,Data Property,,,http://www.w3.org/ns/prov#Activity,date time,,,http://www.w3.org/ns/prov,ended At Time
