Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasRecyclingEfficiencyForPortionCollectedForRecycling,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property referring to the efficiency of the recycling process applied to the portion of a product collected for recycling.,http://www.theworldavatar.com/kg/ontomatpassport,hasRecyclingEfficiencyForPortionCollectedForRecycling
hasRecyclingEfficiencyForProducingFeedstock,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property referring to the efficiency of the recycling process in producing recycled feedstock.,http://www.theworldavatar.com/kg/ontomatpassport,hasRecyclingEfficiencyForProducingFeedstock
hasMCI,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the measure of how circular the materials of a product are.,http://www.theworldavatar.com/kg/ontomatpassport,hasMCI
hasLFI,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the measure of how linear the materials of a product are.,http://www.theworldavatar.com/kg/ontomatpassport,hasLFI
hasIndexValue,Data Property,http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,IS-A,LinearFlowIndex UNION MaterialCircularityIndicator,float,,The measured/assessed quantity expressed as a value between 0 and 1 inclusive.,http://www.theworldavatar.com/kg/ontomatpassport,hasIndexValue
hasMass,Data Property,,,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the mass of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasMass
hasPercentageValue,Data Property,http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,IS-A,FeedstockFractionFromRecycledProduct UNION FeedstockFractionFromReusedProduct UNION ProductFractionCollectedForRecycling UNION ProductFractionCollectedForReuse UNION RecyclingEfficiencyForPortionCollectedForRecycling UNION RecyclingEfficiencyForProducingFeedstock,float,,The numerical value of a measured/assessed quantity expressed in percentage.,http://www.theworldavatar.com/kg/ontomatpassport,hasPercentageValue
hasTotalMass,Data Property,hasMass,IS-A,Product UNION Component UNION ConstituentMaterial UNION ConstituentPart,float,,A datatype property indicating the total mass of a product or component.,http://www.theworldavatar.com/kg/ontomatpassport,hasTotalMass
hasTradeName,Data Property,http://purl.org/goodrelations/v1#name,IS-A,Product UNION Component,string,,A name that indicates the business or company name.,http://www.theworldavatar.com/kg/ontomatpassport,hasTradeName
hasSymbol,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,string,,A character or group of characters indicating the unit of measurement.,http://www.theworldavatar.com/kg/ontomatpassport,hasSymbol
hasFunctionalUnit,Data Property,,,EnvironmentalProperty,string,,"A property that specifies the reference quantity or unit of measurement for which the environmental impact of a product is assessed, e.g., 1 kilogram of product.",http://www.theworldavatar.com/kg/ontomatpassport,hasFunctionalUnit
